threshold,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
0,0.4281031892206282,1.0,0.5995409749827123,0.0,1.0,0.0,0.5
1,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
2,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
3,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
4,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
5,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
6,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
7,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
8,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
9,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
10,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
11,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
12,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
13,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
14,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
15,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
16,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
17,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
18,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
19,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
20,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
21,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
22,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
23,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
24,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
25,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
26,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
27,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
28,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
29,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
30,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
31,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
32,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
33,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
34,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
35,0.9689368186613527,0.1169810786714029,0.20875846045055055,0.9971926479156735,0.0028073520843265,0.883018921328597,0.5570868632935382
36,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
37,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
38,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
39,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
40,0.9990288119132406,0.08734662685215323,0.16064758781348012,0.9999364373112982,6.356268870173209e-05,0.9126533731478468,0.5436415320817257
41,0.9993333333333333,0.04242793054160003,0.08139992669119342,0.9999788124370994,2.1187562900577362e-05,0.9575720694584,0.5212033714893497
42,0.9993333333333333,0.04242793054160003,0.08139992669119342,0.9999788124370994,2.1187562900577362e-05,0.9575720694584,0.5212033714893497
43,0.9993333333333333,0.04242793054160003,0.08139992669119342,0.9999788124370994,2.1187562900577362e-05,0.9575720694584,0.5212033714893497
44,0.9993333333333333,0.04242793054160003,0.08139992669119342,0.9999788124370994,2.1187562900577362e-05,0.9575720694584,0.5212033714893497
45,0.9993333333333333,0.04242793054160003,0.08139992669119342,0.9999788124370994,2.1187562900577362e-05,0.9575720694584,0.5212033714893497
46,0.9996014348345954,0.03549341220758268,0.06855268552685527,0.9999894062185497,1.0593781450288681e-05,0.9645065877924173,0.5177414092130662
47,0.9996014348345954,0.03549341220758268,0.06855268552685527,0.9999894062185497,1.0593781450288681e-05,0.9645065877924173,0.5177414092130662
48,0.9996014348345954,0.03549341220758268,0.06855268552685527,0.9999894062185497,1.0593781450288681e-05,0.9645065877924173,0.5177414092130662
49,0.9996014348345954,0.03549341220758268,0.06855268552685527,0.9999894062185497,1.0593781450288681e-05,0.9645065877924173,0.5177414092130662
50,0.9996014348345954,0.03549341220758268,0.06855268552685527,0.9999894062185497,1.0593781450288681e-05,0.9645065877924173,0.5177414092130662
51,1.0,0.018907176518871797,0.03711265747183911,1.0,0.0,0.9810928234811283,0.5094535882594359
52,1.0,0.018907176518871797,0.03711265747183911,1.0,0.0,0.9810928234811283,0.5094535882594359
53,1.0,0.018907176518871797,0.03711265747183911,1.0,0.0,0.9810928234811283,0.5094535882594359
54,1.0,0.018907176518871797,0.03711265747183911,1.0,0.0,0.9810928234811283,0.5094535882594359
55,1.0,0.018907176518871797,0.03711265747183911,1.0,0.0,0.9810928234811283,0.5094535882594359
56,1.0,0.0146049447361345,0.02878942156137977,1.0,0.0,0.9853950552638655,0.5073024723680672
57,1.0,0.0146049447361345,0.02878942156137977,1.0,0.0,0.9853950552638655,0.5073024723680672
58,1.0,0.0146049447361345,0.02878942156137977,1.0,0.0,0.9853950552638655,0.5073024723680672
59,1.0,0.0146049447361345,0.02878942156137977,1.0,0.0,0.9853950552638655,0.5073024723680672
60,1.0,0.0146049447361345,0.02878942156137977,1.0,0.0,0.9853950552638655,0.5073024723680672
61,1.0,0.01054329828335291,0.020866593843654597,1.0,0.0,0.9894567017166471,0.5052716491416764
62,1.0,0.01054329828335291,0.020866593843654597,1.0,0.0,0.9894567017166471,0.5052716491416764
63,1.0,0.01054329828335291,0.020866593843654597,1.0,0.0,0.9894567017166471,0.5052716491416764
64,1.0,0.01054329828335291,0.020866593843654597,1.0,0.0,0.9894567017166471,0.5052716491416764
65,1.0,0.01054329828335291,0.020866593843654597,1.0,0.0,0.9894567017166471,0.5052716491416764
66,1.0,0.007076039116344236,0.014052641193912396,1.0,0.0,0.9929239608836558,0.5035380195581721
67,1.0,0.007076039116344236,0.014052641193912396,1.0,0.0,0.9929239608836558,0.5035380195581721
68,1.0,0.007076039116344236,0.014052641193912396,1.0,0.0,0.9929239608836558,0.5035380195581721
69,1.0,0.007076039116344236,0.014052641193912396,1.0,0.0,0.9929239608836558,0.5035380195581721
70,1.0,0.007076039116344236,0.014052641193912396,1.0,0.0,0.9929239608836558,0.5035380195581721
71,1.0,0.006524108065269385,0.012963639942633784,1.0,0.0,0.9934758919347306,0.5032620540326347
72,1.0,0.006524108065269385,0.012963639942633784,1.0,0.0,0.9934758919347306,0.5032620540326347
73,1.0,0.006524108065269385,0.012963639942633784,1.0,0.0,0.9934758919347306,0.5032620540326347
74,1.0,0.006524108065269385,0.012963639942633784,1.0,0.0,0.9934758919347306,0.5032620540326347
75,1.0,0.006524108065269385,0.012963639942633784,1.0,0.0,0.9934758919347306,0.5032620540326347
