threshold,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
0,0.4281031892206282,1.0,0.5995409749827123,0.0,1.0,0.0,0.5
1,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
2,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
3,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
4,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
5,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
6,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
7,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
8,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
9,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
10,0.8128648499100843,0.8316044211092399,0.8221278619946696,0.8566873245404947,0.14331267545950527,0.1683955788907601,0.8441458728248673
11,0.9094634942417892,0.6940320686092752,0.7872760547100751,0.9482811589596907,0.05171884104030934,0.3059679313907247,0.821156613784483
12,0.9094634942417892,0.6940320686092752,0.7872760547100751,0.9482811589596907,0.05171884104030934,0.3059679313907247,0.821156613784483
13,0.9094634942417892,0.6940320686092752,0.7872760547100751,0.9482811589596907,0.05171884104030934,0.3059679313907247,0.821156613784483
14,0.9094634942417892,0.6940320686092752,0.7872760547100751,0.9482811589596907,0.05171884104030934,0.3059679313907247,0.821156613784483
15,0.9094634942417892,0.6940320686092752,0.7872760547100751,0.9482811589596907,0.05171884104030934,0.3059679313907247,0.821156613784483
