metric,baseline_threshold,final_threshold,baseline,final,absolute_change,percentage_point_change
accuracy,40,10,0.5994430229434965,0.8632154822657939,0.2637724593222974,26.37724593222974
precision,40,10,0.6984320912237834,0.84888602966073,0.15045393843694665,15.045393843694665
recall,40,10,0.1132611279883767,0.8278628978998811,0.7146017699115044,71.46017699115043
f1,40,10,0.19491405029123454,0.8382426694306061,0.6433286191393716,64.33286191393715
specificity,40,10,0.9633914225682858,0.8896798912371771,-0.07371153133110875,-7.371153133110875
false_positive_rate,40,10,0.03660857743171425,0.11032010876282289,0.07371153133110864,7.371153133110864
false_negative_rate,40,10,0.8867388720116233,0.17213710210011887,-0.7146017699115044,-71.46017699115043
balanced_accuracy,40,10,0.5383262752783312,0.8587713945685291,0.3204451192901979,32.04451192901979
