threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
16,22827,93321,1074,47834,0.7036884451337728,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
17,22827,93321,1074,47834,0.7036884451337728,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
18,22827,93321,1074,47834,0.7036884451337728,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
19,22827,93321,1074,47834,0.7036884451337728,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
20,22827,93321,1074,47834,0.7036884451337728,0.955064641646793,0.3230494898175797,0.48279435714134644,0.98862227872239,0.011377721277610043,0.6769505101824203,0.6558358842699848
21,21156,93622,773,49505,0.695388231872819,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
22,21156,93622,773,49505,0.695388231872819,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
23,21156,93622,773,49505,0.695388231872819,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
24,21156,93622,773,49505,0.695388231872819,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
25,21156,93622,773,49505,0.695388231872819,0.9647498745952848,0.29940136709075726,0.45698239550707415,0.9918110069389269,0.00818899306107315,0.7005986329092427,0.6456061870148421
26,8954,94125,270,61707,0.6245092574641334,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
27,8954,94125,270,61707,0.6245092574641334,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
28,8954,94125,270,61707,0.6245092574641334,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
29,8954,94125,270,61707,0.6245092574641334,0.9707285342584562,0.12671770849549258,0.22417224760593357,0.997139679008422,0.002860320991577944,0.8732822915045074,0.5619286937519573
